iter	Passed	Remaining
0	148	148735
1	149	74845
2	151	50213
3	152	37877
4	152	30442
5	153	25479
6	154	21940
7	155	19277
8	156	17216
9	157	15548
10	157	14178
11	158	13048
12	159	12080
13	159	11249
14	160	10528
15	160	9900
16	161	9344
17	162	8847
18	162	8406
19	163	8006
20	164	7654
21	164	7328
22	165	7028
23	166	6753
24	166	6500
25	167	6266
26	167	6050
27	168	5851
28	169	5662
29	169	5487
30	170	5322
31	170	5168
32	171	5025
33	172	4889
34	172	4761
35	173	4643
36	174	4530
37	174	4423
38	175	4320
39	176	4224
40	176	4130
41	177	4041
42	177	3955
43	178	3873
44	178	3797
45	179	3723
46	180	3652
47	180	3585
48	181	3520
49	181	3457
50	182	3398
51	183	3339
52	183	3284
53	184	3235
54	185	3186
55	186	3137
56	186	3092
57	187	3052
58	188	3008
59	189	2964
60	189	2924
61	190	2885
62	191	2849
63	192	2816
64	193	2784
65	194	2750
66	194	2713
67	195	2676
68	196	2645
69	196	2613
70	197	2582
71	197	2551
72	198	2521
73	199	2495
74	200	2470
75	201	2447
76	202	2422
77	202	2395
78	203	2372
79	204	2349
80	204	2325
81	205	2300
82	206	2276
83	206	2252
84	206	2228
85	207	2206
86	207	2182
87	208	2161
88	209	2140
89	209	2119
90	210	2100
91	210	2081
92	211	2061
93	212	2043
94	212	2024
95	213	2007
96	213	1989
97	214	1971
98	214	1954
99	215	1937
100	215	1922
101	216	1904
102	216	1888
103	217	1873
104	218	1858
105	218	1844
106	219	1830
107	220	1818
108	221	1807
109	222	1796
110	222	1785
111	223	1774
112	224	1762
113	225	1749
114	225	1737
115	226	1724
116	226	1713
117	227	1700
118	228	1688
119	228	1677
120	229	1666
121	229	1655
122	230	1641
123	231	1633
124	231	1622
125	232	1613
126	233	1603
127	233	1592
128	234	1582
129	235	1573
130	235	1564
131	236	1555
132	237	1546
133	237	1537
134	238	1528
135	239	1519
136	239	1511
137	240	1502
138	241	1495
139	242	1488
140	242	1480
141	243	1472
142	244	1464
143	245	1458
144	246	1452
145	247	1446
146	248	1440
147	248	1433
148	249	1427
149	250	1420
150	251	1413
151	252	1406
152	252	1400
153	253	1394
154	254	1387
155	255	1381
156	256	1375
157	257	1369
158	257	1363
159	258	1357
160	259	1353
161	260	1347
162	261	1341
163	262	1337
164	263	1332
165	264	1327
166	264	1321
167	265	1316
168	266	1311
169	267	1306
170	268	1301
171	269	1296
172	270	1291
173	270	1285
174	271	1280
175	272	1275
176	273	1270
177	274	1266
178	274	1261
179	275	1256
180	276	1250
181	277	1245
182	277	1240
183	278	1236
184	279	1231
185	280	1227
186	281	1223
187	282	1219
188	283	1214
189	283	1210
190	284	1205
191	285	1201
192	286	1197
193	287	1193
194	288	1189
195	288	1185
196	289	1181
197	290	1177
198	291	1173
199	292	1168
200	293	1165
201	293	1161
202	294	1156
203	295	1152
204	296	1148
205	297	1145
206	297	1141
207	298	1137
208	299	1133
209	300	1130
210	301	1126
211	302	1122
212	302	1118
213	303	1115
214	304	1111
215	305	1107
216	306	1104
217	307	1101
218	307	1097
219	308	1094
220	309	1091
221	310	1088
222	311	1084
223	312	1081
224	313	1078
225	314	1075
226	314	1072
227	315	1069
228	316	1065
229	317	1062
230	318	1059
231	319	1057
232	320	1054
233	321	1051
234	322	1048
235	322	1045
236	323	1042
237	324	1039
238	325	1036
239	326	1033
240	327	1030
241	327	1027
242	328	1024
243	329	1021
244	330	1019
245	331	1016
246	332	1013
247	333	1010
248	334	1007
249	334	1004
250	335	1000
251	336	997
252	336	994
253	337	992
254	338	989
255	339	986
256	340	984
257	341	982
258	342	979
259	343	976
260	343	973
