iter	Passed	Remaining
0	139	138893
1	140	70106
2	142	47208
3	143	35633
4	144	28741
5	145	24064
6	146	20722
7	147	18228
8	147	16292
9	148	14728
10	149	13449
11	150	12381
12	151	11470
13	151	10686
14	152	10011
15	153	9422
16	154	8910
17	154	8444
18	155	8026
19	156	7647
20	156	7307
21	157	6998
22	158	6715
23	158	6455
24	159	6213
25	159	5991
26	160	5789
27	161	5601
28	161	5420
29	162	5253
30	163	5098
31	163	4950
32	164	4816
33	164	4686
34	165	4565
35	166	4454
36	167	4347
37	167	4250
38	168	4158
39	169	4064
40	170	3980
41	170	3898
42	171	3820
43	172	3743
44	173	3672
45	173	3602
46	174	3535
47	174	3470
48	175	3409
49	176	3350
50	177	3294
51	177	3239
52	178	3188
53	179	3137
54	179	3088
55	180	3040
56	181	2995
57	181	2951
58	182	2910
59	183	2870
60	183	2830
61	184	2790
62	185	2754
63	185	2717
64	186	2682
65	187	2647
66	187	2613
67	188	2580
68	188	2549
69	189	2519
70	190	2491
71	191	2463
72	191	2436
73	192	2409
74	193	2383
75	193	2358
76	194	2332
77	195	2308
78	196	2285
79	196	2261
80	197	2238
81	198	2216
82	198	2191
83	199	2170
84	199	2149
85	200	2127
86	200	2106
87	201	2086
88	201	2067
89	202	2048
90	203	2030
91	203	2013
92	204	1996
93	205	1979
94	206	1963
95	206	1945
96	207	1929
97	207	1911
98	208	1896
99	208	1880
100	209	1865
101	210	1850
102	210	1836
103	211	1821
104	212	1808
105	212	1795
106	213	1783
107	214	1770
108	215	1757
109	215	1746
110	216	1734
111	217	1722
112	218	1711
113	218	1699
114	219	1689
115	220	1678
116	220	1665
117	221	1653
118	221	1643
119	222	1632
120	223	1621
121	223	1610
122	224	1600
123	225	1590
124	225	1580
125	226	1571
126	227	1562
127	227	1552
128	228	1543
129	229	1534
130	230	1526
131	230	1517
132	231	1508
133	232	1499
134	232	1490
135	233	1482
136	234	1474
137	234	1467
138	235	1459
139	236	1451
140	237	1444
141	237	1435
142	238	1427
143	238	1420
144	239	1412
145	240	1405
146	241	1398
147	241	1390
148	242	1384
149	243	1377
150	243	1371
151	244	1365
152	245	1359
153	246	1353
154	247	1346
155	247	1340
156	248	1334
157	249	1328
158	250	1322
159	250	1317
160	251	1309
161	252	1303
162	252	1298
163	253	1292
164	254	1286
165	255	1281
166	255	1275
167	256	1270
168	257	1264
169	257	1259
170	258	1254
171	259	1249
172	260	1244
173	260	1238
174	261	1233
175	262	1228
176	262	1222
177	263	1217
178	264	1212
179	265	1207
180	265	1202
181	266	1198
182	267	1193
183	267	1188
184	268	1182
185	269	1178
186	269	1173
187	270	1167
188	271	1163
189	271	1158
190	272	1153
191	273	1148
192	273	1144
193	274	1139
194	274	1135
195	275	1131
196	276	1126
197	277	1122
198	277	1118
199	278	1114
200	279	1109
201	279	1105
202	280	1101
203	281	1096
204	281	1092
205	282	1088
206	283	1084
207	283	1080
208	284	1076
209	284	1071
210	285	1067
211	286	1063
212	286	1059
213	287	1055
214	288	1051
215	288	1048
216	289	1044
217	290	1040
218	290	1037
219	291	1033
220	292	1030
221	292	1026
222	293	1023
223	294	1019
224	294	1015
225	295	1012
226	296	1008
227	296	1004
228	297	1000
229	297	997
230	298	993
231	299	989
232	299	986
233	300	983
234	300	979
235	301	976
236	302	972
237	302	969
238	303	965
239	303	962
240	304	959
241	305	956
242	306	953
243	306	950
244	307	947
245	308	944
246	308	941
247	309	938
248	310	935
249	310	932
250	311	929
251	312	926
252	312	923
253	313	920
254	313	917
255	314	914
256	315	910
257	315	908
258	316	905
259	317	902
260	317	900
261	318	897
262	319	894
263	319	891
264	320	889
265	321	886
266	322	884
267	322	882
268	323	879
269	324	876
270	324	874
271	325	871
272	326	868
273	326	866
274	327	863
275	328	861
276	328	858
277	329	855
278	330	853
279	330	851
280	331	848
281	332	846
282	332	843
283	333	841
284	334	839
285	335	836
286	336	834
287	336	832
288	337	830
289	338	828
290	338	825
291	339	823
292	340	821
293	341	818
294	341	816
295	342	814
296	343	812
297	343	810
298	344	807
299	345	805
300	345	802
301	346	800
302	346	798
303	347	795
304	348	793
305	348	791
306	349	789
307	350	787
308	351	784
309	351	782
310	352	780
311	353	778
312	353	776
313	354	773
314	354	771
315	355	769
316	356	767
317	356	765
318	357	763
319	358	761
320	358	759
321	359	757
322	360	755
323	360	753
324	361	750
325	362	748
326	362	746
327	363	744
328	363	742
329	364	740
330	365	738
331	366	736
332	366	734
333	367	732
334	368	731
335	369	729
336	369	727
337	370	725
338	371	723
339	371	721
340	372	719
341	373	718
342	373	716
343	374	714
344	375	712
345	375	710
346	376	708
347	377	706
348	377	704
349	378	702
350	378	700
351	379	698
352	380	696
353	380	695
354	381	693
355	382	691
356	382	689
357	383	687
358	384	686
359	385	684
360	385	682
361	386	681
362	387	679
363	387	677
364	388	675
365	389	674
366	389	672
367	390	670
368	390	668
369	391	666
370	392	664
371	392	663
372	393	661
373	394	659
374	394	657
375	395	656
376	396	654
377	396	652
378	397	651
379	398	649
380	398	648
381	399	646
382	400	644
383	400	642
384	401	641
385	402	640
386	402	638
387	403	636
388	404	635
389	404	633
390	405	631
391	406	630
392	406	628
393	407	626
394	408	625
395	408	623
396	409	621
397	409	620
398	410	618
399	411	617
400	412	615
401	412	613
402	413	612
403	414	610
404	414	609
405	415	607
406	415	605
407	416	604
408	417	602
409	417	601
410	418	599
411	419	598
412	419	596
413	420	594
414	420	593
415	421	591
416	422	590
417	422	588
418	423	586
419	423	585
420	424	583
421	425	582
422	425	580
423	426	579
424	427	577
425	427	576
426	428	574
427	429	573
428	429	572
429	430	570
430	431	569
431	432	568
432	432	566
433	433	565
434	434	564
435	434	562
436	435	561
437	436	559
438	436	558
439	437	556
440	437	555
441	438	553
442	439	552
443	439	550
444	440	549
445	440	547
446	441	546
447	442	545
448	443	543
449	443	542
450	444	540
451	444	539
452	445	538
453	446	536
454	446	535
455	447	533
456	448	532
457	448	531
458	449	529
459	450	528
460	450	527
461	451	525
462	452	524
463	452	523
464	453	521
465	454	520
466	454	518
467	455	517
468	455	516
469	456	514
470	457	513
471	458	512
472	458	511
473	459	509
474	459	508
475	460	507
476	461	505
477	462	504
478	462	503
479	463	502
480	464	500
481	464	499
482	465	498
483	466	497
484	466	495
485	467	494
486	467	492
487	468	491
488	469	490
489	470	489
490	470	488
491	471	486
492	472	485
493	472	484
494	473	483
495	474	482
496	475	480
497	475	479
498	476	478
499	477	477
500	477	475
501	478	474
502	479	473
503	479	472
504	480	470
505	480	469
506	481	468
507	482	467
508	482	465
509	483	464
510	484	463
511	484	462
512	485	460
513	486	459
514	486	458
515	487	457
516	488	456
517	488	455
518	489	453
519	490	452
520	490	451
521	491	449
522	492	448
523	492	447
524	493	446
525	493	445
526	494	443
527	495	442
528	495	441
529	496	440
530	497	439
531	497	437
532	498	436
533	498	435
534	499	434
535	500	432
536	500	431
537	501	430
538	501	429
539	502	427
540	503	426
541	503	425
542	504	424
543	505	423
544	506	422
545	506	421
546	507	420
547	508	419
548	508	418
549	509	416
550	510	415
551	510	414
552	511	413
553	512	412
554	512	411
555	513	409
556	513	408
557	514	407
558	515	406
559	515	405
560	516	403
561	516	402
562	517	401
563	518	400
564	518	399
565	519	398
566	520	397
567	520	396
568	521	395
569	522	393
570	522	392
571	523	391
572	524	390
573	524	389
574	525	388
575	525	387
576	526	386
577	527	384
578	527	383
579	528	382
580	528	381
581	529	380
582	530	379
583	530	378
584	531	376
585	531	375
586	532	374
587	533	373
588	534	372
589	535	371
590	535	370
591	536	369
592	537	368
593	537	367
594	538	366
595	538	365
596	539	364
597	540	363
598	541	362
599	541	361
600	542	360
601	542	358
602	543	357
603	544	356
604	544	355
605	545	354
606	546	353
607	546	352
608	547	351
609	548	350
610	548	349
611	549	348
612	550	347
613	551	346
614	551	345
615	552	344
616	553	343
617	554	342
618	554	341
619	555	340
620	555	339
621	556	338
622	557	337
623	557	336
624	558	335
625	559	334
626	559	333
627	560	331
628	561	330
629	561	329
630	562	328
631	562	327
632	563	326
633	564	325
634	565	324
635	565	323
636	566	322
637	567	321
638	567	320
639	568	319
640	568	318
641	569	317
642	570	316
643	570	315
644	571	314
645	572	313
646	572	312
647	573	311
648	573	310
649	574	309
650	575	308
651	575	307
652	576	306
653	577	305
654	577	304
655	578	303
656	579	302
657	580	301
658	580	300
659	581	299
660	582	298
661	582	297
662	583	296
663	584	295
664	584	294
665	585	293
666	586	292
667	586	291
668	587	290
669	588	289
670	588	288
671	589	287
672	590	286
673	590	285
674	591	284
675	592	283
676	592	282
677	593	281
678	594	280
679	595	280
680	595	279
681	596	278
682	597	277
683	597	276
684	598	275
685	599	274
686	599	273
687	600	272
688	601	271
689	601	270
690	602	269
691	603	268
692	603	267
693	604	266
694	605	265
695	605	264
696	606	263
697	607	262
698	607	261
699	608	260
700	609	259
701	609	258
702	610	258
703	611	257
704	612	256
705	612	255
706	613	254
707	614	253
708	614	252
709	615	251
710	616	250
711	616	249
712	617	248
713	618	247
714	618	246
715	619	245
716	619	244
717	620	243
718	621	242
719	621	241
720	622	240
721	622	239
722	623	238
723	624	238
724	625	237
725	625	236
726	626	235
727	627	234
728	627	233
729	628	232
730	629	231
731	629	230
732	630	229
733	630	228
734	631	227
735	632	226
736	633	225
737	633	224
738	634	223
739	634	223
740	635	222
741	636	221
742	636	220
743	637	219
744	637	218
745	638	217
746	639	216
747	640	215
748	640	214
749	641	213
750	642	212
751	642	212
752	643	211
753	644	210
754	644	209
755	645	208
756	646	207
757	646	206
758	647	205
759	647	204
760	648	203
761	649	202
762	649	201
763	650	200
764	651	200
765	651	199
766	652	198
767	652	197
768	653	196
769	654	195
770	654	194
771	655	193
772	656	192
773	657	191
774	657	190
775	658	190
776	659	189
777	659	188
778	660	187
779	660	186
780	661	185
781	662	184
782	662	183
783	663	182
784	664	181
785	664	180
786	665	180
787	665	179
788	666	178
789	667	177
790	667	176
791	668	175
792	668	174
793	669	173
794	670	172
795	670	171
796	671	171
797	672	170
798	673	169
799	673	168
800	674	167
801	674	166
802	675	165
803	676	164
804	676	163
805	677	163
806	678	162
807	678	161
808	679	160
809	680	159
810	680	158
811	681	157
812	682	156
813	682	155
814	683	155
815	683	154
816	684	153
817	684	152
818	685	151
819	686	150
820	686	149
821	687	148
822	688	148
823	688	147
824	689	146
825	690	145
826	690	144
827	691	143
828	691	142
829	692	141
830	693	140
831	693	140
832	694	139
833	695	138
834	695	137
835	696	136
836	696	135
837	697	134
838	698	133
839	698	133
840	699	132
841	700	131
842	700	130
843	701	129
844	702	128
845	703	127
846	703	127
847	704	126
848	705	125
849	705	124
850	706	123
851	707	122
852	707	121
853	708	121
854	709	120
855	709	119
856	710	118
857	711	117
858	711	116
859	712	115
860	712	115
861	713	114
862	714	113
863	714	112
864	715	111
865	716	110
866	717	109
867	717	109
868	718	108
869	719	107
870	719	106
871	720	105
872	720	104
873	721	104
874	722	103
875	722	102
876	723	101
877	723	100
878	724	99
879	725	98
880	725	98
881	726	97
882	727	96
883	727	95
884	728	94
885	728	93
886	729	92
887	729	92
888	730	91
889	731	90
890	731	89
891	732	88
892	733	87
893	733	87
894	734	86
895	735	85
896	736	84
897	736	83
898	737	82
899	738	82
900	738	81
901	739	80
902	740	79
903	740	78
904	741	77
905	741	76
906	742	76
907	743	75
908	743	74
909	744	73
910	745	72
911	745	71
912	746	71
913	747	70
914	748	69
915	749	68
916	749	67
917	750	67
918	751	66
919	751	65
920	752	64
921	752	63
922	753	62
923	754	62
924	754	61
925	755	60
926	756	59
927	756	58
928	757	57
929	758	57
930	758	56
931	759	55
932	760	54
933	760	53
934	761	52
935	762	52
936	762	51
937	763	50
938	764	49
939	764	48
940	765	48
941	766	47
942	766	46
943	767	45
944	768	44
945	768	43
946	769	43
947	770	42
948	770	41
949	771	40
950	772	39
951	772	38
952	773	38
953	773	37
954	774	36
955	775	35
956	775	34
957	776	34
958	777	33
959	778	32
960	778	31
961	779	30
962	780	29
963	780	29
964	781	28
965	781	27
966	782	26
967	783	25
968	783	25
969	784	24
970	785	23
971	785	22
972	786	21
973	787	21
974	787	20
975	788	19
976	788	18
977	789	17
978	790	16
979	790	16
980	791	15
981	792	14
982	792	13
983	793	12
984	794	12
985	794	11
986	795	10
987	796	9
988	796	8
989	797	8
990	797	7
991	798	6
992	799	5
993	799	4
994	800	4
995	801	3
996	802	2
997	802	1
998	803	0
999	804	0
